pruning,max_depth,red_start_x,red_start_y,blue_start_x,blue_start_y,red_end_x,red_end_y,blue_end_x,blue_end_y,num_moves,total_time,avg_time,winner
TRUE,2,5,12,15,2,5,7,9,7,71,0.265291929,0.003736506,
TRUE,2,5,8,18,6,10,7,14,7,65,0.233379602,0.003590455,
TRUE,2,4,10,15,9,9,7,17,7,83,0.337072849,0.004061119,
TRUE,2,4,2,14,3,4,7,12,7,79,0.317180157,0.004014939,
TRUE,2,3,4,17,4,4,7,12,7,89,0.374967813,0.004213121,
TRUE,2,7,6,14,3,7,7,13,7,75,0.342086077,0.004561148,
TRUE,2,2,7,18,5,4,7,12,7,91,0.387064934,0.004253461,
TRUE,2,3,6,12,2,4,7,12,7,83,0.362080336,0.004362414,
TRUE,2,6,11,11,3,4,7,12,7,81,0.332121849,0.00410027,
TRUE,2,8,9,15,3,9,7,17,7,73,0.333089113,0.004562865,
TRUE,2,6,6,12,11,5,7,9,7,67,0.24733901,0.003691627,
TRUE,2,4,5,11,9,4,7,12,7,77,0.313162804,0.004067049,
TRUE,2,2,5,18,10,4,7,12,7,91,0.382975578,0.004208523,
TRUE,2,9,11,15,7,13,7,16,7,70,0.260302067,0.003718601,
TRUE,2,3,3,18,8,13,7,16,7,76,0.291221619,0.003831863,
TRUE,2,3,11,13,10,5,7,9,7,65,0.237370491,0.003651854,
TRUE,2,7,12,16,4,13,7,16,7,72,0.276294708,0.003837427,
TRUE,2,5,9,12,4,4,7,12,7,79,0.319256067,0.004041216,
TRUE,2,5,8,16,3,13,7,16,7,72,0.27227211,0.003781557,
TRUE,2,6,8,16,12,9,7,17,7,77,0.309202433,0.004015616,
TRUE,2,5,4,17,6,9,7,17,7,79,0.316127062,0.004001608,
TRUE,2,4,9,17,1,9,7,17,7,81,0.320144892,0.003952406,
TRUE,2,5,3,11,11,9,7,17,7,81,0.320149899,0.003952468,
TRUE,2,4,4,14,8,4,7,12,7,81,0.330092907,0.004075221,
TRUE,2,1,9,14,8,5,7,10,7,64,0.234347343,0.003661677,
TRUE,2,2,5,18,3,4,7,12,7,91,0.446806908,0.004909966,
TRUE,2,5,12,17,11,9,7,17,7,79,0.309173822,0.003913593,
TRUE,2,7,12,11,4,4,9,5,7,18,0.046943188,0.002607955,Team.BLUE
TRUE,2,1,1,15,5,5,7,9,7,69,0.25332427,0.003671366,
TRUE,2,4,12,15,6,9,7,17,7,83,0.349087715,0.004205876,
TRUE,2,7,7,14,1,15,7,16,5,17,0.045877457,0.002698674,Team.RED
TRUE,2,4,11,17,4,13,7,16,7,74,0.29219079,0.003948524,
TRUE,2,2,9,17,1,9,7,17,7,87,0.361066103,0.004150185,
TRUE,2,5,10,11,10,4,7,12,7,79,0.320855618,0.004061464,
TRUE,2,4,7,12,6,4,7,12,7,77,0.305156946,0.003963077,
TRUE,2,8,9,15,9,9,7,17,7,73,0.287232637,0.003934694,
TRUE,2,9,6,15,1,15,7,16,6,13,0.034906149,0.002685088,Team.RED
TRUE,2,9,8,14,9,13,7,16,7,64,0.239387751,0.003740434,
TRUE,2,8,11,11,3,4,7,12,7,81,0.333165646,0.004113156,
TRUE,2,9,10,14,12,15,7,16,8,17,0.046874762,0.002757339,Team.RED
TRUE,2,8,9,17,10,9,7,17,7,73,0.298201561,0.004084953,
TRUE,2,2,10,13,12,6,7,10,7,67,0.249330521,0.003721351,
TRUE,2,7,3,17,4,10,7,14,7,63,0.234375,0.003720238,
TRUE,2,8,1,16,2,4,7,12,7,87,0.418898344,0.004814923,
